"","P_E_DA","E_DA","P_E_RT","E_RT","P_R_PR","R_PR","P_R_RU","P_R_RD","R_RU","R_RD","P_E_RU","P_E_RD","E_RU","E_RD"
"2899",25.51,50364.5,6.39281712062257,-1285,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.36,-4.10095846645367,3.25,-156.5
"2900",25.61,48778,10.1464870509607,-2394,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.0222222222222,2.48495708154506,4.5,-116.5
"2901",28.53,47544,10.7139268051434,-1011,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.6187096774194,1.25497512437811,23.25,-50.25
"2902",27.92,46187.25,36.9776588628763,897,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.3578974358974,0.334285714285714,97.5,-14
"2903",24.03,42422.25,40.0356707317073,820,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.9295437262357,0.795588235294118,65.75,-25.5
"2904",20.1,38543.25,-1.75267223382046,-958,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.2347727272727,3.59039130434783,11,-172.5
"2905",19.81,36528,5.46470993117011,-1017,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.2889361702128,2.49937853107345,11.75,-88.5
"2906",18.72,35594.5,4.46864084044649,-1523,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.6501369863014,5.75497098646035,18.25,-129.25
"2907",17.03,35548.25,7.5793850931677,-1610,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.1657894736842,1.17455089820359,9.5,-41.75
"2908",17.17,35981.75,38.2668654173765,587,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,37.511021611002,-0.4132,127.25,-6.25
"2909",17.92,36380.5,6.40804010938924,-1097,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.3130882352941,1.81532467532468,17,-38.5
"2910",17.64,35971,4.39864593781344,-997,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.9213709677419,0.883461538461539,31,-26
"2911",17.04,38277.5,44.3605007824726,639,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,38.0639489489489,-0.431363636363636,166.5,-5.5
"2912",16.82,42173.25,-0.0361014492753619,-690,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.2618032786885,3.33191176470588,15.25,-85
"2913",17.42,45438.5,1.06388515261252,-1933,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.1659259259259,10.0700670391061,6.75,-223.75
"2914",16.77,47993,-9.50746409113422,-4038,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36,15.0494686985173,2.5,-607
"2915",16.97,50074.75,-14.1037168539326,-2225,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.235,11.0379873817035,8,-396.25
"2916",15.16,48868.25,-21.7983667529107,-3092,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36,19.9621965529886,1.25,-681.75
"2917",13.73,46865.75,-25.3588403772267,-2863,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36,12.2093683023125,2.25,-443.25
"2918",14.29,45386.75,-12.6043736842105,-1900,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.08,13.1519930273097,3.5,-430.25
"2919",13.54,44780.25,-17.8282663185379,-3830,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36,14.4135350166746,2,-524.75
"2920",14.25,44807,-21.0684525790349,-601,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.6575,2.08068493150685,30,-73
"2921",16.21,45495.25,-38.0081724845996,-974,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.1414285714286,14.9194640338505,5.25,-354.5
"2922",21.35,46830,4.97485774499473,-949,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,36.2991935483871,2.75788405797101,15.5,-86.25
"2923",23.57,47112.5,96.2863120567376,141,13.4547023809524,583,1.95981481481481,0.00212962962962963,1973,1904,37.3440046838408,0.497536231884058,106.75,-17.25
"2924",25.08,47015.5,4.3711010215664,-881,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.9230476190476,2.62960365853659,26.25,-82
"2925",25.74,46763.25,18.2935499515034,-1031,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.1104347826087,2.23133676092545,5.75,-97.25
"2926",26.35,45844,9.44249403341289,-838,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36.1944736842105,2.23121293800539,9.5,-92.75
"2927",24.48,42135.5,8.9711216730038,-1052,13.4547023809524,583,4.89564814814815,0.186944444444444,1973,1904,36,2.90308620689655,3,-145
"2928",21.45,40138.5,5.77421624713959,-1748,13.7844642857143,583,4.17861111111111,0.206574074074074,1973,1904,36,6.44610784313725,2.75,-255
"2929",20.23,38581.25,7.47146417445483,-963,13.7844642857143,583,4.17861111111111,0.206574074074074,1973,1904,36.5002597402597,3.84146687697161,19.25,-158.5
"2930",20.03,38050.75,8.31170157068063,-382,13.7844642857143,583,4.17861111111111,0.206574074074074,1973,1904,36.5777108433735,1.02919463087248,20.75,-37.25
"2931",19.94,38464.25,3.21370860927152,-906,13.7844642857143,583,4.17861111111111,0.206574074074074,1973,1904,36.4420895522388,5.53168576104746,16.75,-152.75
"2932",20.08,40298.75,5.59937262357414,-1052,13.7844642857143,583,4.17861111111111,0.206574074074074,1973,1904,36.0685714285714,4.30983006535948,5.25,-191.25
"2933",23.47,44356.25,46.3440970350404,371,13.7844642857143,583,4.17861111111111,0.206574074074074,1973,1904,36.8997196261682,2.14582191780822,26.75,-73
"2934",31.12,52359.5,37.9074064837905,2005,13.7844642857143,583,4.17861111111111,0.206574074074074,1973,1904,39.2211748381129,1.15508928571429,270.25,-28
"2935",35.53,58452,40.4043531827515,974,13.7844642857143,583,4.17861111111111,0.206574074074074,1973,1904,38.6681441048035,-0.5,229,-4
