datetime_beginning_utc,datetime_beginning_ept,hrly_da_demand_bid
3/5/2017 8:00:00 PM,3/5/2017 3:00:00 PM,75047.0
3/5/2017 9:00:00 PM,3/5/2017 4:00:00 PM,76772.0
3/5/2017 10:00:00 PM,3/5/2017 5:00:00 PM,82037.0
3/5/2017 11:00:00 PM,3/5/2017 6:00:00 PM,87545.0
3/6/2017 12:00:00 AM,3/5/2017 7:00:00 PM,89535.0
3/6/2017 1:00:00 AM,3/5/2017 8:00:00 PM,88544.0
3/6/2017 2:00:00 AM,3/5/2017 9:00:00 PM,86263.0
3/6/2017 3:00:00 AM,3/5/2017 10:00:00 PM,82451.0
3/6/2017 4:00:00 AM,3/5/2017 11:00:00 PM,78693.0
3/6/2017 5:00:00 AM,3/6/2017 12:00:00 AM,76179.0
3/6/2017 6:00:00 AM,3/6/2017 1:00:00 AM,75231.0
3/6/2017 7:00:00 AM,3/6/2017 2:00:00 AM,74867.0
3/6/2017 8:00:00 AM,3/6/2017 3:00:00 AM,75558.0
3/6/2017 9:00:00 AM,3/6/2017 4:00:00 AM,78107.0
3/6/2017 10:00:00 AM,3/6/2017 5:00:00 AM,84337.0
3/6/2017 11:00:00 AM,3/6/2017 6:00:00 AM,94374.0
3/6/2017 12:00:00 PM,3/6/2017 7:00:00 AM,95363.0
3/6/2017 1:00:00 PM,3/6/2017 8:00:00 AM,92804.0
3/6/2017 2:00:00 PM,3/6/2017 9:00:00 AM,90175.0
3/6/2017 3:00:00 PM,3/6/2017 10:00:00 AM,88209.0
3/6/2017 4:00:00 PM,3/6/2017 11:00:00 AM,87007.0
3/6/2017 5:00:00 PM,3/6/2017 12:00:00 PM,84456.0
3/6/2017 6:00:00 PM,3/6/2017 1:00:00 PM,83804.0
3/6/2017 7:00:00 PM,3/6/2017 2:00:00 PM,82255.0
3/6/2017 8:00:00 PM,3/6/2017 3:00:00 PM,81681.0
3/6/2017 9:00:00 PM,3/6/2017 4:00:00 PM,82307.0
3/6/2017 10:00:00 PM,3/6/2017 5:00:00 PM,84799.0
3/6/2017 11:00:00 PM,3/6/2017 6:00:00 PM,89375.0
3/7/2017 12:00:00 AM,3/6/2017 7:00:00 PM,89609.0
3/7/2017 1:00:00 AM,3/6/2017 8:00:00 PM,88050.0
3/7/2017 2:00:00 AM,3/6/2017 9:00:00 PM,84374.0
3/7/2017 3:00:00 AM,3/6/2017 10:00:00 PM,77923.0
3/7/2017 4:00:00 AM,3/6/2017 11:00:00 PM,72147.0
3/7/2017 5:00:00 AM,3/7/2017 12:00:00 AM,68007.0
3/7/2017 6:00:00 AM,3/7/2017 1:00:00 AM,66329.0
3/7/2017 7:00:00 AM,3/7/2017 2:00:00 AM,64988.0
3/7/2017 8:00:00 AM,3/7/2017 3:00:00 AM,65208.0
3/7/2017 9:00:00 AM,3/7/2017 4:00:00 AM,67099.0
3/7/2017 10:00:00 AM,3/7/2017 5:00:00 AM,73075.0
3/7/2017 11:00:00 AM,3/7/2017 6:00:00 AM,84739.0
3/7/2017 12:00:00 PM,3/7/2017 7:00:00 AM,87632.0
3/7/2017 1:00:00 PM,3/7/2017 8:00:00 AM,87094.0
3/7/2017 2:00:00 PM,3/7/2017 9:00:00 AM,86879.0
3/7/2017 3:00:00 PM,3/7/2017 10:00:00 AM,86189.0
3/7/2017 4:00:00 PM,3/7/2017 11:00:00 AM,84866.0
3/7/2017 5:00:00 PM,3/7/2017 12:00:00 PM,83814.0
3/7/2017 6:00:00 PM,3/7/2017 1:00:00 PM,83282.0
3/7/2017 7:00:00 PM,3/7/2017 2:00:00 PM,82135.0
3/7/2017 8:00:00 PM,3/7/2017 3:00:00 PM,81678.0
3/7/2017 9:00:00 PM,3/7/2017 4:00:00 PM,82157.0
3/7/2017 10:00:00 PM,3/7/2017 5:00:00 PM,83679.0
3/7/2017 11:00:00 PM,3/7/2017 6:00:00 PM,88490.0
3/8/2017 12:00:00 AM,3/7/2017 7:00:00 PM,89007.0
3/8/2017 1:00:00 AM,3/7/2017 8:00:00 PM,86616.0
3/8/2017 2:00:00 AM,3/7/2017 9:00:00 PM,81734.0
3/8/2017 3:00:00 AM,3/7/2017 10:00:00 PM,75502.0
