datetime_beginning_utc,datetime_beginning_ept,hrly_da_demand_bid
5/15/2016 9:00:00 AM,5/15/2016 5:00:00 AM,58061.0
5/15/2016 10:00:00 AM,5/15/2016 6:00:00 AM,58708.0
5/15/2016 11:00:00 AM,5/15/2016 7:00:00 AM,62889.0
5/15/2016 12:00:00 PM,5/15/2016 8:00:00 AM,67079.0
5/15/2016 1:00:00 PM,5/15/2016 9:00:00 AM,69062.0
5/15/2016 2:00:00 PM,5/15/2016 10:00:00 AM,69687.0
5/15/2016 3:00:00 PM,5/15/2016 11:00:00 AM,69940.0
5/15/2016 4:00:00 PM,5/15/2016 12:00:00 PM,70017.0
5/15/2016 5:00:00 PM,5/15/2016 1:00:00 PM,69431.0
5/15/2016 6:00:00 PM,5/15/2016 2:00:00 PM,68743.0
5/15/2016 7:00:00 PM,5/15/2016 3:00:00 PM,68604.0
5/15/2016 8:00:00 PM,5/15/2016 4:00:00 PM,69242.0
5/15/2016 9:00:00 PM,5/15/2016 5:00:00 PM,70488.0
5/15/2016 10:00:00 PM,5/15/2016 6:00:00 PM,71331.0
5/15/2016 11:00:00 PM,5/15/2016 7:00:00 PM,71697.0
5/16/2016 12:00:00 AM,5/15/2016 8:00:00 PM,76894.0
5/16/2016 1:00:00 AM,5/15/2016 9:00:00 PM,76508.0
5/16/2016 2:00:00 AM,5/15/2016 10:00:00 PM,69978.0
5/16/2016 3:00:00 AM,5/15/2016 11:00:00 PM,64796.0
5/16/2016 4:00:00 AM,5/16/2016 12:00:00 AM,62375.0
5/16/2016 5:00:00 AM,5/16/2016 1:00:00 AM,62264.0
5/16/2016 6:00:00 AM,5/16/2016 2:00:00 AM,60720.0
5/16/2016 7:00:00 AM,5/16/2016 3:00:00 AM,61351.0
5/16/2016 8:00:00 AM,5/16/2016 4:00:00 AM,64459.0
5/16/2016 9:00:00 AM,5/16/2016 5:00:00 AM,70859.0
5/16/2016 10:00:00 AM,5/16/2016 6:00:00 AM,80794.0
5/16/2016 11:00:00 AM,5/16/2016 7:00:00 AM,84405.0
5/16/2016 12:00:00 PM,5/16/2016 8:00:00 AM,82869.0
5/16/2016 1:00:00 PM,5/16/2016 9:00:00 AM,82808.0
5/16/2016 2:00:00 PM,5/16/2016 10:00:00 AM,83002.0
5/16/2016 3:00:00 PM,5/16/2016 11:00:00 AM,82653.0
5/16/2016 4:00:00 PM,5/16/2016 12:00:00 PM,82840.0
5/16/2016 5:00:00 PM,5/16/2016 1:00:00 PM,82479.0
5/16/2016 6:00:00 PM,5/16/2016 2:00:00 PM,81498.0
5/16/2016 7:00:00 PM,5/16/2016 3:00:00 PM,81127.0
5/16/2016 8:00:00 PM,5/16/2016 4:00:00 PM,80782.0
5/16/2016 9:00:00 PM,5/16/2016 5:00:00 PM,80333.0
5/16/2016 10:00:00 PM,5/16/2016 6:00:00 PM,79371.0
5/16/2016 11:00:00 PM,5/16/2016 7:00:00 PM,78608.0
5/17/2016 12:00:00 AM,5/16/2016 8:00:00 PM,82533.0
5/17/2016 1:00:00 AM,5/16/2016 9:00:00 PM,82327.0
5/17/2016 2:00:00 AM,5/16/2016 10:00:00 PM,74046.0
5/17/2016 3:00:00 AM,5/16/2016 11:00:00 PM,67211.0
5/17/2016 4:00:00 AM,5/17/2016 12:00:00 AM,62637.0
5/17/2016 5:00:00 AM,5/17/2016 1:00:00 AM,61442.0
5/17/2016 6:00:00 AM,5/17/2016 2:00:00 AM,59400.0
5/17/2016 7:00:00 AM,5/17/2016 3:00:00 AM,59609.0
5/17/2016 8:00:00 AM,5/17/2016 4:00:00 AM,61697.0
5/17/2016 9:00:00 AM,5/17/2016 5:00:00 AM,66029.0
5/17/2016 10:00:00 AM,5/17/2016 6:00:00 AM,75399.0
5/17/2016 11:00:00 AM,5/17/2016 7:00:00 AM,80146.0
5/17/2016 12:00:00 PM,5/17/2016 8:00:00 AM,81223.0
5/17/2016 1:00:00 PM,5/17/2016 9:00:00 AM,82115.0
5/17/2016 2:00:00 PM,5/17/2016 10:00:00 AM,82966.0
5/17/2016 3:00:00 PM,5/17/2016 11:00:00 AM,83146.0
5/17/2016 4:00:00 PM,5/17/2016 12:00:00 PM,83444.0
