"","P_E_DA","E_DA","P_E_RT","E_RT_total","P_R_REG_a","P_R_REG_d","R_REG_a","R_REG_d","delta_REG_p","delta_REG_n"
"1205",17.023405,72259,13.163266,2473.35400000001,12.39,12.9192,190.7,137,0,0.0956730158730159
"1206",19.374756,74762,17.495076,1493.667,14.11384,19.25032,248.6,145.8,0.00312380952380952,0
"1207",23.303451,78950,17.650974,281.222999999998,62.26464,109.97748,301.9,141.6,0,0.00327619047619048
"1208",25.483801,81678,16.174418,-89.3380000000034,15.84492,29.09452,301.8,141.6,0,0.368359523809524
"1209",24.958163,83820,23.265721,-356.523000000001,25.24218,38.88378,301.2,145.8,0,0.104309523809524
"1210",24.619077,83885,20.325526,132.839000000007,13.87868,19.53748,301.6,146.1,0,0.0178333333333333
"1211",23.786062,83585,19.692393,-310.573000000004,85.3249,139.5307,333.2,146.1,0,0.00074285714285714
"1212",21.90688,81575,17.55747,-172.982999999993,10.75344,16.32624,333,141.3,0,0.0967095238095238
"1213",20.389166,78796,18.149523,655.543999999994,14.41608,20.0256,301.9,141.3,0.0341238095238095,0
"1214",19.155421,77185,15.396198,547.592000000004,13.13004,17.8959,333.1,141.3,0,0.0940452380952381
"1215",17.093904,75579,14.1731,349.159,48.85832,103.8665,333.9,141.3,0,0.179597619047619
"1216",16.828137,75130,11.499953,-504.597999999998,10.761,16.5954,302.2,141.3,0,0.19065
"1217",17.404439,76437,11.990811,-1704.069,16.98844,33.90467,301.3,142.3,0,0.232569047619048
"1218",21.49745,80231,17.479072,-3661.97900000001,30.0256,60.8608,371.5,141.6,0,0.0936976190476191
"1219",24.653168,85233,23.47189,-3817.19100000001,20.32716,26.901,371.5,141.6,0.430652380952381,0
"1220",24.470445,84210,19.971624,-1867.53,13.37952,20.2224,391.7,141.6,0,0.103321428571429
"1221",23.333921,82779,18.219321,-1500.54700000001,23.15869,37.75558,391.6,141.6,0,0.13182380952381
"1222",21.837154,79814,19.425409,-404.981,12.7674,18.6714,221.5,172.2,0.0121285714285714,0
"1223",18.538476,76063,15.339211,229.476999999999,13.0505,19.3672,237.4,172.1,0,0.248185714285714
"1224",16.386734,71490,12.374572,1277.522,24.38395,34.76585,237.3,172.1,0.188938095238095,0
"1225",15.439392,68698,13.424862,800.062000000005,7.88348,8.41484,163.6,149.9,0.120549206349206,0
"1226",14.452902,66889,15.150831,707.793999999994,13.12743,18.11514,163.7,149.9,0.0216920634920635,0
"1227",13.719478,65802,13.208412,897.120999999999,23.9862,25.788,162.1,149.9,0,0.00770793650793651
"1228",13.2961,65444,13.076327,1090.753,23.53476,35.98068,162.1,149.9,0.170298412698413,0
"1229",13.310852,66017,12.750974,1010.283,50.0208,60.1919,162.2,149.9,0.129326984126984,0
"1230",15.272175,68048,14.719294,471.540999999997,39.61629,55.62837,217.9,167.2,0.0274738095238095,0
"1231",20.415275,70596,17.661683,464.860000000001,20.42292,32.62728,281.1,136.8,0,0.0114690476190476
"1232",22.434615,73173,15.265623,171.470000000001,46.09654,87.06285,274.3,136.8,0.00605,0
"1233",24.329997,76235,12.651584,-326.110000000001,47.41541,65.32847,250,167.2,0.0203214285714286,0
"1234",24.913418,78357,19.952022,-706.145000000004,10.3704,18.03597,219.2,167.1,0.258847619047619,0
"1235",23.373117,78399,19.319333,-257.899000000005,8.45466,12.48462,220.7,167.1,0,0.00500238095238095
"1236",21.873872,77290,19.760817,1301.803,25.9352,40.0248,253.1,167.1,0.0152928571428571,0
"1237",20.98793,76304,18.971469,2045.992,17.7504,28.3155,253.6,167.1,0,0.0593738095238095
"1238",20.259476,75166,17.713172,2186.045,10.53104,14.3507,255,167.1,0,0.0278571428571429
"1239",19.761783,74485,17.307869,2186.304,16.26948,28.45396,255.4,167.1,0,0.0256166666666667
"1240",19.706316,74535,17.167743,2469.17,27.91448,45.70896,255.3,167.1,0,0.0752809523809524
"1241",20.911306,76145,18.329681,2332.96799999999,16.28792,22.29048,256.1,167.1,0,0.0920833333333333
"1242",25.104314,82020,19.713296,-83.1900000000023,13.42288,20.28482,319.6,136.8,0.016947619047619,0
"1243",27.979958,87174,22.875059,-679.349000000002,13.66506,16.99722,318.9,136.8,0.130230952380952,0
"1244",29.146762,87145,23.018938,437.016000000003,12.1458,12.72612,319,136.8,0,0.355145238095238
"1245",28.442816,85994,21.902246,253.066000000006,10.4512,15.3088,318.9,136.8,0,0.238492857142857
"1246",25.507366,83177,19.403974,-24.2960000000021,14.16882,20.47806,255.4,164.8,0,0.238040476190476
"1247",21.953672,77978,16.933328,1283.281,13.71294,20.3841,256.3,167.1,0,0.179435714285714
"1248",19.099501,73514,14.331726,1994.59699999999,24.16425,40.8117,226.3,166.8,0,0.10982380952381
"1249",18.829699,72294,14.614429,348.493000000002,6.6444,11.8188,173.9,151.2,0,0.429269841269841
"1250",18.209459,71085,13.431523,320.831999999995,5.6368,5.8864,173.9,151.2,0,0.0221333333333333
"1251",17.900682,70620,13.759655,672.884999999995,20.4761,23.94965,205.5,151.2,0,0.0328571428571429
"1252",17.934865,71223,16.249464,909.986000000004,19.1029,23.2849,205.3,151.2,0,0.0111047619047619
"1253",20.021201,73478,17.413504,1339.933,18.64701,23.2794,205.4,151.2,0.0176349206349206,0
"1254",24.139831,80141,21.848789,647.842000000004,22.9018,34.3742,282.2,168.7,0,0.348516666666667
"1255",32.750035,92632,53.648193,-1905.442,69.20763,69.99324,293.4,137.8,0,0.503433333333333
"1256",31.463988,96359,26.523528,-1138.66,16.54212,19.59054,293.6,137.8,0,0.495635714285714
"1257",30.080964,96321,24.983143,-1740.977,26.45061,53.06478,202.4,168.5,0,0.133009523809524
