"","x"
"1775",34.82
"1776",31.59
"1777",29.99
"1778",29.84
"1779",28.14
"1780",28.29
"1781",29.37
"1782",30
"1783",38.48
"1784",45.18
"1785",40.95
"1786",36.15
"1787",32.94
"1788",31.87
"1789",30.49
"1790",30.45
"1791",30.19
"1792",30.28
"1793",33.5
"1794",39.9
"1795",45.59
"1796",50.1
"1797",42.92
"1798",34.81
"1799",30.19
"1800",26.36
"1801",21.63
"1802",18.76
"1803",18.53
"1804",20.93
"1805",24.11
"1806",28
"1807",39.97
"1808",40.91
"1809",40.45
"1810",33.97
"1811",32.17
"1812",29.71
"1813",27.83
"1814",25.44
"1815",22.1
"1816",22.78
"1817",26.48
"1818",30.96
"1819",38.1
"1820",40.45
"1821",32.99
"1822",27.91
"1823",24.5
"1824",14.96
"1825",11.73
"1826",9.42
"1827",9.39
"1828",8.46
"1829",8.3
"1830",9.37
"1831",10.35
"1832",11.25
"1833",16.93
"1834",28.18
"1835",25.6
"1836",26.83
"1837",25.69
"1838",17.01
"1839",9.75
"1840",14.36
"1841",9.99
"1842",27.44
"1843",32.31
"1844",37.94
"1845",31.27
"1846",30.74
"1847",30.75
"1848",29.06
"1849",16.62
"1850",15.79
"1851",16.12
"1852",12.67
"1853",13.43
"1854",12.47
"1855",11.62
"1856",9.64
"1857",13.73
"1858",18.44
"1859",21.06
"1860",17.63
"1861",18.05
"1862",11.35
"1863",10.12
"1864",9.44
"1865",9.42
"1866",10.15
"1867",17.09
"1868",16.72
"1869",11.96
"1870",9.47
"1871",12.51
"1872",10.12
"1873",10.59
"1874",13.87
"1875",10.07
"1876",16.36
"1877",22.06
"1878",26.08
"1879",36.3
"1880",40.98
"1881",42.31
"1882",39.34
"1883",38.96
"1884",36.94
"1885",35
"1886",32.74
"1887",31.16
"1888",30.82
"1889",30.56
