"","G_gas","G_coal_brown","G_coal_hard","G_bio","G_hydro","G_nuclear","G_wind_on","G_wind_off","G_pv","G_otherRE","G_phes","G_otherCONV"
"49",1179.75,12677.25,8113,4681.25,1178.25,6433.25,13970.75,2530.5,0,106,21,6743.25
"50",1171.5,12780.75,7206.25,4680.25,1197.5,6436.25,14168.75,2471.5,0,106,2,5740.75
"51",1164.75,12287.75,6846,4679.25,1170.75,6376.25,14560,2568.5,0,106,0.5,5701.5
"52",1148.75,11769.25,7038.5,4672.75,1132.75,6172.5,15535.5,2669.5,0,106,1.5,6145.25
"53",1194,11870.25,7137.75,4688.75,1171.5,6158,15918.25,2937,0,106,0.75,6137.75
"54",1329.25,11942.5,7275,4690.5,1186.5,6120.5,16674.25,3059.5,0,106,2,5975.5
"55",1494.5,12127.25,8640,4688.25,1160.25,6172,17644.5,3111.75,0,106,165.5,6994.5
"56",1665.5,12323,10440.5,4684.25,1151.25,6164.75,18948.25,3196.75,0,106,708,7922.25
"57",1800,12724,11493.25,4695.5,1188.75,6164.75,19541,3211.75,69.5,106,1700.5,8133.5
"58",1901.5,12620.25,11838.5,4700.25,1183.5,5991.25,20843.75,3237,537.5,106,1477.5,7989.5
"59",1883.5,12696.5,11732.25,4704.5,1186.25,5924.5,22669.75,3239,1166.25,106,1364.5,7568.25
"60",1868.25,12663,10725.5,4698.25,1180,5919.5,24465.25,3260,1817.25,106,1209.25,7215.5
"61",1792.25,12819,9627.5,4699.5,1122.75,5910.25,25848,3250.25,2147,106,935,7313.5
"62",1954.5,12603.5,8690.75,4686.25,1107.25,5914.5,26969.5,3260.75,1907.75,106,721.75,7071
"63",2244.75,12135.75,8378,4686.5,1199,5916.25,27565.5,3263.25,1220.25,106,969.5,7118.75
"64",2286.5,12125,8284.25,4698.25,1215.5,5914.75,28710.25,3258.25,438.5,106,280.75,7393.5
"65",2436.5,11926.5,7852,4682.75,1163.75,5914.5,29797.25,3259.5,46.5,106,974,7084.75
"66",2392,11949.5,8182,4690,1121.5,5915,30655,3262,0,106,2260.75,7295.5
"67",2443.75,11920.75,8348.5,4688.5,1107,5910.75,31477,3261.75,0,106,1555.75,6982.5
"68",2474.5,11936.5,7601.5,4699.75,1096,5907.75,31963.25,3255.75,0,106,781.5,6790.5
"69",2313.25,12188.5,6209,4680.75,1085.5,5898.5,32466.25,3225.25,0,106,199.75,6293.25
"70",1706.5,12163.75,5070.25,4668.5,1082.75,5910,32576.75,3146.25,0,106,200.5,5636.75
"71",1602.75,11568.5,4518,4678.75,1087.5,5894.75,31501.75,3203,0,106,740.5,5400
"72",1511.25,10300.25,3979.25,4682.5,1097,5897.5,31195.5,3216,0,106,0.25,5123.5
"73",1112.5,9644.75,3476.25,4655.5,1118,5899,29763.25,2887,0,106,0.75,5228.25
"74",940.25,9783,3305.75,4645.75,1094.75,5896.75,28979.5,2777.75,0,106,0.75,5024.5
"75",1038.25,10138.25,2967.5,4616.75,1059.75,5894.5,28438.25,2539.25,0,106,0.75,5117.25
"76",1068.5,10439.75,3044.25,4606.75,1060.75,5888.75,27770,2863.25,0,106,0.75,4895
"77",1085.5,11050.25,3086.5,4615,1064.5,5887.25,27914.5,2786.25,0,106,0.75,4998.5
"78",1139,11849.25,3552.25,4609,1057.75,5885.5,28269.75,2568.5,0,106,3.5,5359.25
"79",1376,12079.75,5257.75,4600.75,1104.75,5882.5,29011.5,2689.5,0,106,640.5,5947
"80",1971.25,11951.5,6282,4586.75,1111.75,5876.5,29945.25,2682,0,106,1432.5,7534.25
"81",2417.25,11811.5,6885,4621.25,1215.75,5881,30533.25,2846.25,49,106,1703,7952.5
"82",2373.75,11871.25,7102,4643,1216.5,5881.5,29920.75,3000.25,675,106,1276,7999.25
"83",2386.25,11890.25,7296.75,4660.25,1193.5,5881.75,29219.25,3041.75,1746.75,106,1488.25,8278.25
"84",2398.75,11908,7589,4654.5,1135.75,5882.75,29280.75,2917,2619.25,106,876.75,8426.5
"85",2363,11870.75,7878.5,4652.25,1165.75,5877.25,29150.5,3083.75,2968,106,81,8369.75
"86",2325,12117.75,7967.75,4656.75,1156.75,5871.75,28290.75,3131.25,2560,106,119.5,8604.25
"87",2389,12068.25,8779.5,4658.75,1148.75,5874.5,27240.25,2896,1596,106,77.5,8309.5
"88",2584.5,12315,9659,4669.5,1144.25,5868.75,26167.75,2920.75,556,106,53.25,8334.75
"89",2813.25,12382.75,10156.25,4667,1226.25,5931.5,24801.25,3125.25,44.25,106,703.75,8360.75
"90",2942.75,12386,10765.25,4657.25,1171.5,6054.25,23006.75,3055.75,0,106,2356,8303
"91",2805,12902.75,11276.25,4672.25,1140,6066.75,22574.25,2903.75,0,106,801.75,7817.5
"92",2227.75,13273.25,10565.25,4659.75,1159.75,6073.5,22303.75,2827.75,0,106,111.5,8185
"93",1519.25,13753.5,9868.75,4654,1167,6143.75,20754,3103,0,106,92.5,7835.5
"94",1314.25,14068.25,8679.5,4649,1142.5,6172.25,19983,3153.75,0,106,0,7159.25
"95",1300.75,14605.5,8209,4653.5,1158.75,6173.5,18447.75,3174.5,0,106,166.25,6624
"96",1305.25,14060.5,8162,4639.75,1134.25,6200.25,17849,3075,0,106,133.25,6211.75
"97",1363,12779.75,9523,4587.5,1137.25,6361.75,16746.25,2821.5,0,106,128.25,6592
"98",1374.5,12912,9025.5,4594.5,1137,6373.25,15566.5,2584.75,0,106,68,6321
"99",1392,13795.5,8341.5,4600,1127.75,6375.5,14673.5,2596.75,0,106,0.5,5517.5
"100",1368,14087.5,8810.25,4595.5,1133,6388.75,13703.75,2572,0,106,0.75,6029
"101",1470,13573.25,10658.75,4579.5,1134.75,6397.25,13176,2396,0,106,39,6880.25
"102",2069.5,13836.25,12736.25,4578,1119.75,6398.5,12388.75,2430.25,0,106,4.5,7452.25
"103",3139.5,14440,14772.5,4581.25,1160.5,6386.25,11621,2243.75,0,106,47.5,8619.25
"104",3561.25,14907,15643.75,4579.5,1159.5,6377.5,11257,2216.5,0,106,224.75,9490.25
"105",4170,15399,16683.25,4590.25,1159.5,6362.75,10720.25,2313.75,115.5,106,218.75,9407.25
"106",4394.5,15321.25,16605.5,4613.5,1188.25,6381.75,10074,2225.5,1267,106,482,9370.5
